artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Anastacia;Left Outside Alone;257426;2004;102.847;pop;0.746;2;-3.567
No Doubt;Hella Good;242586;2001;115.142;rock, pop;0.665;8;-3.954
Nickelback;Gotta Be Somebody;252653;2008;115.998;rock, metal;0.89;0;-5.222
Armand Van Helden;My My My - Radio Edit;190000;2006;127.51;pop, Dance/Electronic;0.768;7;-8.502
Ne-Yo;Beautiful Monster;251573;2010;128.013;pop, R&B;0.771;5;-6.99
Red Hot Chili Peppers;Dani California;282160;2006;96.184;rock;0.913;0;-2.36
Usher;My Boo;223440;2004;86.412;hip hop, pop, R&B;0.507;5;-8.238
Bob Sinclar;Love Generation - Radio Edit;207613;2005;128.04;pop, Dance/Electronic;0.812;1;-5.758
Loud Luxury;Body (feat. brando);163216;2017;121.958;pop, Dance/Electronic;0.764;1;-4.399
Kelly Clarkson;My Life Would Suck Without You;211493;2009;144.982;pop, R&B;0.882;9;-4.006
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Shakira;She Wolf;188866;2009;121.983;pop, latin;0.69;7;-7.448
Eric Prydz;Proper Education - Radio Edit;198567;2007;124.938;pop, Dance/Electronic;0.937;0;-4.543
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
G.R.L.;Ugly Heart;198306;2014;124.96;pop;0.786;9;-5.488
Olly Murs;Wrapped Up (feat. Travie McCoy);185640;2014;121.989;pop, Dance/Electronic;0.848;1;-4.696
Enrique Iglesias;Bailando - Spanish Version;243386;2014;90.949;pop, latin;0.792;7;-3.519
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;243880;2006;95.824;hip hop, pop;0.761;8;-3.04
Snoop Dogg;Sensual Seduction;245520;2007;120.163;hip hop, pop;0.829;11;-3.973
Good Charlotte;Lifestyles of the Rich & Famous;190173;2002;106.22;rock, metal;0.93;1;-3.685
Chris Brown;Run It! (feat. Juelz Santana);229866;2005;100.969;hip hop, pop, R&B;0.482;1;-6.721
Pia Mia;Do It Again;207746;2015;95.95;pop, R&B;0.564;8;-6.527
Kings of Leon;Sex on Fire;203346;2008;153.398;rock;0.905;9;-5.653
will.i.am;Heartbreaker;327880;2007;120.051;hip hop, pop;0.549;9;-8.793
Dominic Fike;3 Nights;177666;2018;151.891;rock, pop;0.518;7;-6.594
D12;How Come;249533;2004;89.983;hip hop, pop, rock;0.858;9;-2.221
Basement Jaxx;Good Luck;282306;2003;154.07;pop, Dance/Electronic;0.968;5;-3.092
ScHoolboy Q;Collard Greens;299960;2014;153.972;hip hop, pop;0.571;11;-4.871
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
Jason Derulo;Don't Wanna Go Home;206080;2011;121.956;hip hop, pop;0.808;2;-4.861
Erykah Badu;Bag Lady;348893;2000;151.181;hip hop, R&B;0.416;5;-8.964
Baauer;Harlem Shake;196664;2013;137.825;Dance/Electronic;0.794;0;-5.151
K-Ci & JoJo;Crazy;262773;2019;116.097;pop, R&B;0.644;0;-4.507
Sean Kingston;Fire Burning;239986;2009;122.973;hip hop, pop, R&B;0.804;1;-2.513
Flo Rida;Whistle;224653;2012;103.976;hip hop, pop;0.937;0;-5.746
Nicki Minaj;Anaconda;260240;2014;129.994;hip hop, pop;0.605;9;-6.223
Cardi B;Money;183527;2018;130.003;hip hop, pop;0.59;8;-6.508
J. Holiday;Bed;275106;2007;127.901;hip hop, pop, R&B, Dance/Electronic;0.606;5;-7.268
Linkin Park;Numb;185586;2003;110.018;rock, metal;0.863;9;-4.153
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
Demi Lovato;Cool for the Summer;214746;2015;114.101;pop;0.613;5;-5.593
Beyoncé;Beautiful Liar;199853;2007;91.977;pop, R&B;0.751;8;-3.74
Bruno Mars;Marry You;230192;2010;144.905;pop;0.82;10;-4.865
Gym Class Heroes;Cookie Jar (feat. The-Dream);216317;2008;113.053;hip hop, pop;0.668;5;-4.061
Pitbull;Feel This Moment (feat. Christina Aguilera);229506;2012;135.956;hip hop, pop, latin;0.758;7;-3.632
Evanescence;Bring Me To Life;235893;2003;94.612;metal;0.943;4;-3.188
Mariah Carey;It's Like That;203360;2005;95.953;pop, R&B;0.633;8;-4.875
Jeremih;Birthday Sex;226506;2009;60.019;hip hop, pop, R&B;0.523;7;-5.603
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133;2001;83.46;hip hop, pop, R&B;0.587;11;-7.93
Take That;The Flood;289359;2010;100.631;pop;0.83;11;-6.077
The Red Jumpsuit Apparatus;Face Down;192000;2006;92.956;pop;0.932;7;-2.189
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
JLS;Everybody in Love;195586;2013;140.022;pop;0.783;5;-5.971
iann dior;emotions;131213;2019;80.512;hip hop, pop;0.63;9;-6.211
Samantha Mumba;Gotta Tell You;201946;2018;109.981;pop;0.632;0;-8.75
Kiesza;Hideaway;251986;2014;122.993;pop, Dance/Electronic;0.72;7;-4.135
Taylor Swift;Style;231000;2014;94.933;pop;0.791;7;-5.595
Eamon;Fuck It (I Don't Want You Back);225106;2004;68.507;set();0.653;0;-6.245
The Fray;How to Save a Life;262533;2005;122.035;pop;0.743;10;-4.08
Bastille;Pompeii;214147;2013;127.435;pop, rock;0.715;9;-6.383
Martin Garrix;Animals - Radio Edit;176117;2013;128.015;pop, Dance/Electronic;0.914;1;-5.351
Britney Spears;I'm Not a Girl, Not Yet a Woman;231066;2001;78.996;pop;0.543;3;-6.857
Robbie Williams;Eternity;302760;2001;77.967;pop, rock;0.316;10;-8.106
